,TOWN,ADDRESS,Times sold,Date,Days after 1st timestamp,Sold date,Sold price,SMA
139,Liverpool,Liverpool HILL ICON BUILDING 39 FLAT 77,2,2018-04-27 00:00:00,3760,4-27-2018,365000,
98,Liverpool,GREEN LANE 40 ,2,2018-04-26 00:00:00,3759,4-26-2018,375000,
13,Liverpool,AUDREY ROAD 7 ,2,2018-04-20 00:00:00,3753,4-20-2018,430000,
220,Liverpool,SELBORNE ROAD 11B ,2,2018-04-20 00:00:00,3753,4-20-2018,300000,
24,Liverpool,BENTON ROAD 18 ,2,2018-04-06 00:00:00,3739,4-6-2018,260000,
226,Liverpool,SOUTH PARK CRESCENT 2 ,2,2018-03-26 00:00:00,3728,3-26-2018,413000,
230,Liverpool,STAINES ROAD 244 ,2,2018-03-23 00:00:00,3725,3-23-2018,220000,
155,Liverpool,KINGSTON ROAD 266 ,2,2018-03-23 00:00:00,3725,3-23-2018,405000,
228,Liverpool,ST MARYS ROAD 32 ,2,2018-03-16 00:00:00,3718,3-16-2018,390000,
41,Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 85,2,2018-03-12 00:00:00,3714,3-12-2018,237000,
55,Liverpool,COVENTRY ROAD 295 ,2,2018-03-08 00:00:00,3710,3-8-2018,475000,
253,Liverpool,VICARAGE LANE 83A ,2,2018-02-28 00:00:00,3702,2-28-2018,250000,
234,Liverpool,STAINES ROAD 76 ,2,2018-02-23 00:00:00,3697,2-23-2018,383000,
151,Liverpool,JERSEY ROAD 16 ,2,2018-02-13 00:00:00,3687,2-13-2018,387500,
97,Liverpool,GREEN LANE 40 ,2,2018-02-12 00:00:00,3686,2-12-2018,292500,
225,Liverpool,SOUTH PARK CRESCENT 2 ,2,2018-02-06 00:00:00,3680,2-6-2018,350000,
186,Liverpool,OAKLANDS PARK AVENUE 50 ,2,2018-02-05 00:00:00,3679,2-5-2018,284000,
77,Liverpool,ETON ROAD 59 ,2,2018-01-31 00:00:00,3674,1-31-2018,400000,
32,Liverpool,BRITANNIA ROAD 20 GROUND FLOOR FLAT,2,2018-01-26 00:00:00,3669,1-26-2018,253000,
236,Liverpool,STANLEY ROAD 120B ,2,2018-01-22 00:00:00,3665,1-22-2018,228000,
