TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,AIRLIE GARDENS 3 ,2,11-10-2014,490000
Liverpool,AIRLIE GARDENS 3 ,2,2-20-2017,635000
Liverpool,ARGYLE ROAD 37C ,2,12-23-2014,124500
Liverpool,ARGYLE ROAD 37C ,2,2-1-2017,178000
Liverpool,ARGYLE ROAD 43D ,2,1-7-2014,121000
Liverpool,ARGYLE ROAD 43D ,2,2-17-2017,210000
Liverpool,ARGYLE ROAD 8B ,2,5-29-2015,182500
Liverpool,ARGYLE ROAD 8B ,2,11-16-2017,242500
Liverpool,AUCKLAND ROAD 149 ,2,5-29-2014,146500
Liverpool,AUCKLAND ROAD 149 ,2,10-27-2017,460000
Liverpool,AUCKLAND ROAD 2 ,2,4-30-2013,370000
Liverpool,AUCKLAND ROAD 2 ,2,8-7-2017,615000
Liverpool,AUDREY ROAD 7 ,2,1-6-2015,345000
Liverpool,AUDREY ROAD 7 ,2,4-20-2018,430000
Liverpool,AZALEA CLOSE 32 ,2,3-6-2008,200000
Liverpool,AZALEA CLOSE 32 ,2,11-10-2017,300000
Liverpool,BALFOUR ROAD 103A ,2,1-20-2016,266000
Liverpool,BALFOUR ROAD 103A ,2,10-20-2017,330000
Liverpool,BALFOUR ROAD 185A ,3,9-1-2009,158000
Liverpool,BALFOUR ROAD 185A ,3,9-14-2012,169000
Liverpool,BALFOUR ROAD 185A ,3,2-17-2017,320000
Liverpool,BEEHIVE LANE BEEHIVE COURT FLAT 1,2,1-21-2009,115000
Liverpool,BEEHIVE LANE BEEHIVE COURT FLAT 1,2,9-1-2017,230000
Liverpool,BENTON ROAD 18 ,2,4-17-2008,300000
Liverpool,BENTON ROAD 18 ,2,4-6-2018,260000
Liverpool,BLUEBELL WAY CONIFER COURT FLAT 38,2,9-5-2013,146000
Liverpool,BLUEBELL WAY CONIFER COURT FLAT 38,2,5-12-2017,260000
Liverpool,BRISBANE ROAD 18B ,2,4-1-2011,120000
Liverpool,BRISBANE ROAD 18B ,2,3-24-2017,215000
Liverpool,BRITANNIA ROAD 10C ,2,11-7-2016,128000
Liverpool,BRITANNIA ROAD 10C ,2,2-14-2018,64000
Liverpool,BRITANNIA ROAD 20 GROUND FLOOR FLAT,2,1-27-2015,178000
Liverpool,BRITANNIA ROAD 20 GROUND FLOOR FLAT,2,1-26-2018,253000
Liverpool,BRITANNIA ROAD 34 ,2,9-24-2015,359000
Liverpool,BRITANNIA ROAD 34 ,2,10-4-2017,395000
Liverpool,CAVENHAM GARDENS 17 ,2,4-22-2015,310000
Liverpool,CAVENHAM GARDENS 17 ,2,9-15-2017,390000
Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 110,3,8-11-2010,145000
Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 110,3,7-15-2013,190000
Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 110,3,11-14-2017,312000
Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 85,2,3-30-2008,250750
Liverpool,CENTREWAY APARTMENTS CITY VIEW FLAT 85,2,3-12-2018,237000
Liverpool,COLOMBO ROAD 54 ,2,10-14-2013,295000
Liverpool,COLOMBO ROAD 54 ,2,2-22-2017,216210
Liverpool,COURTLAND AVENUE 102 ,4,8-7-2008,245000
Liverpool,COURTLAND AVENUE 102 ,4,8-7-2008,150000
Liverpool,COURTLAND AVENUE 102 ,4,7-8-2011,135000
Liverpool,COURTLAND AVENUE 102 ,4,3-15-2017,249995
Liverpool,COVENTRY ROAD 129 GROUND FLOOR FLAT,4,6-17-2009,140000
Liverpool,COVENTRY ROAD 129 GROUND FLOOR FLAT,4,3-11-2010,199250
Liverpool,COVENTRY ROAD 129 GROUND FLOOR FLAT,4,11-15-2017,370000
Liverpool,COVENTRY ROAD 129 GROUND FLOOR FLAT,4,11-15-2017,370000
Liverpool,COVENTRY ROAD 140A ,2,4-24-2015,187500
Liverpool,COVENTRY ROAD 140A ,2,1-11-2018,234000
Liverpool,COVENTRY ROAD 295 ,2,4-30-2008,285000
Liverpool,COVENTRY ROAD 295 ,2,3-8-2018,475000
Liverpool,COWLEY ROAD 24A ,3,2-27-2009,123000
Liverpool,COWLEY ROAD 24A ,3,6-21-2011,136000
Liverpool,COWLEY ROAD 24A ,3,11-7-2017,269000
Liverpool,DAHLIA GARDENS 21 ,3,11-17-2015,255000
Liverpool,DAHLIA GARDENS 21 ,3,2-2-2016,275000
Liverpool,DAHLIA GARDENS 21 ,3,1-30-2017,360000
Liverpool,DE VERE GARDENS 21 FLAT A,2,8-20-2013,130000
Liverpool,DE VERE GARDENS 21 FLAT A,2,8-10-2017,219000
Liverpool,EMPRESS AVENUE 32 ,2,2-17-2014,250000
Liverpool,EMPRESS AVENUE 32 ,2,2-8-2018,740000
Liverpool,EMPRESS AVENUE 45C ,2,8-21-2009,175000
Liverpool,EMPRESS AVENUE 45C ,2,10-20-2017,330000
Liverpool,EMPRESS AVENUE 5 FLAT 1,2,5-29-2008,210000
Liverpool,EMPRESS AVENUE 5 FLAT 1,2,7-28-2017,157500
Liverpool,EMPRESS AVENUE 5 FLAT 2,2,6-13-2008,220000
Liverpool,EMPRESS AVENUE 5 FLAT 2,2,3-22-2017,157500
Liverpool,EMPRESS AVENUE 5 FLAT 4,2,6-13-2008,220000
Liverpool,EMPRESS AVENUE 5 FLAT 4,2,3-22-2017,157500
Liverpool,ETON ROAD 188 ,2,10-24-2014,275000
Liverpool,ETON ROAD 188 ,2,5-19-2017,420000
Liverpool,ETON ROAD 59 ,2,10-1-2014,250000
Liverpool,ETON ROAD 59 ,2,1-31-2018,400000
Liverpool,EXETER GARDENS 1 ,3,2-1-2008,370000
Liverpool,EXETER GARDENS 1 ,3,11-28-2011,360000
Liverpool,EXETER GARDENS 1 ,3,8-24-2017,800000
Liverpool,EXETER GARDENS 53 ,3,8-11-2008,375000
Liverpool,EXETER GARDENS 53 ,3,3-3-2014,250000
Liverpool,EXETER GARDENS 53 ,3,12-15-2017,594000
Liverpool,FALLAIZE AVENUE 5 ,2,7-6-2017,380000
Liverpool,FALLAIZE AVENUE 5 ,2,8-16-2017,385000
Liverpool,FRANCIS AVENUE 14 ,4,12-2-2013,215000
Liverpool,FRANCIS AVENUE 14 ,4,10-2-2013,210000
Liverpool,FRANCIS AVENUE 14 ,4,7-25-2014,258000
Liverpool,FRANCIS AVENUE 14 ,4,12-8-2017,190000
Liverpool,FRANCIS AVENUE 86 ,2,2-4-2009,162500
Liverpool,FRANCIS AVENUE 86 ,2,9-22-2017,360000
Liverpool,GRANGE ROAD 15 ,2,3-8-2010,195000
Liverpool,GRANGE ROAD 15 ,2,6-7-2017,300000
Liverpool,GREEN LANE 177 ,3,7-8-2011,160000
Liverpool,GREEN LANE 177 ,3,10-17-2011,185000
Liverpool,GREEN LANE 177 ,3,2-2-2017,270000
Liverpool,GREEN LANE 40 ,2,2-12-2018,292500
Liverpool,GREEN LANE 40 ,2,4-26-2018,375000
Liverpool,HAINAULT STREET SPECTRUM TOWER 2 - 20 FLAT 9,2,1-31-2017,261000
Liverpool,HAINAULT STREET SPECTRUM TOWER 2 - 20 FLAT 9,2,1-31-2017,261000
Liverpool,HAMPTON ROAD 160 ,2,2-27-2015,285000
Liverpool,HAMPTON ROAD 160 ,2,11-15-2017,370000
Liverpool,HAMPTON ROAD 241 ,2,1-19-2012,116250
Liverpool,HAMPTON ROAD 241 ,2,12-18-2017,200000
Liverpool,HARVEY ROAD 45 ,2,2-12-2015,247500
Liverpool,HARVEY ROAD 45 ,2,10-20-2017,330000
Liverpool,HENLEY ROAD 156 ,2,8-11-2017,310000
Liverpool,HENLEY ROAD 156 ,2,10-24-2017,358000
Liverpool,HENLEY ROAD 168 ,2,1-10-2008,249995
Liverpool,HENLEY ROAD 168 ,2,6-16-2017,390000
Liverpool,HENLEY ROAD 174 ,2,1-9-2009,170000
Liverpool,HENLEY ROAD 174 ,2,6-9-2017,390000
Liverpool,HENLEY ROAD 259 ,2,4-8-2008,260000
Liverpool,HENLEY ROAD 259 ,2,11-24-2017,285000
Liverpool,HENLEY ROAD 39 ,2,1-15-2016,220000
Liverpool,HENLEY ROAD 39 ,2,7-26-2017,370000
Liverpool,HICKLING ROAD 15 ,2,2-5-2016,350000
Liverpool,HICKLING ROAD 15 ,2,5-12-2017,410000
